fips,country,state,county,level,lat,locationId,long,population,metrics.testPositivityRatio,metrics.testPositivityRatioDetails.source,metrics.caseDensity,metrics.contactTracerCapacityRatio,metrics.infectionRate,metrics.infectionRateCI90,unused1,unused2,unused3,unused4,unused5,metrics.icuCapacityRatio,riskLevels.overall,riskLevels.testPositivityRatio,riskLevels.caseDensity,riskLevels.contactTracerCapacityRatio,riskLevels.infectionRate,unused6,riskLevels.icuCapacityRatio,actuals.cases,actuals.deaths,actuals.positiveTests,actuals.negativeTests,actuals.contactTracers,actuals.hospitalBeds.capacity,actuals.hospitalBeds.currentUsageTotal,actuals.hospitalBeds.currentUsageCovid,unused7,actuals.icuBeds.capacity,actuals.icuBeds.currentUsageTotal,actuals.icuBeds.currentUsageCovid,unused8,actuals.newCases,actuals.vaccinesDistributed,actuals.vaccinationsInitiated,actuals.vaccinationsCompleted,lastUpdatedDate,url,metrics.vaccinationsInitiatedRatio,metrics.vaccinationsCompletedRatio,actuals.newDeaths,actuals.vaccinesAdministered,cdcTransmissionLevel
39,US,OH,,state,,iso1:us#iso2:us-oh,,11689100,0.084,other,30.2,0.09,0.85,0.1,,,,,,0.76,3,1,3,2,0,,1,1524169,23955,1316687,15269976,1659,28093,21069,3044,,3900,2967,772,,2325,15993115,6493527,6033375,########,https://covidactnow.org/us/ohio-oh,0.556,0.516,0,12757608,3
40,US,OK,,state,,iso1:us#iso2:us-ok,,3956971,0.092,other,15.4,0.23,0.82,0.1,,,,,,0.84,2,1,2,1,0,,2,639720,10540,611003,2456634,700,8494,5846,616,,868,727,189,,763,5266460,2329449,1965685,########,https://covidactnow.org/us/oklahoma-ok,0.589,0.497,0,4405452,3
41,US,OR,,state,,iso1:us#iso2:us-or,,4217737,0.068,other,26.1,0.12,0.95,0.1,,,,,,0.69,3,1,3,1,1,,0,359733,4295,319838,4920467,656,6869,5361,611,,795,552,123,,2207,7108555,2870229,2638467,########,https://covidactnow.org/us/oregon-or,0.681,0.626,11,5534888,3
42,US,PA,,state,,iso1:us#iso2:us-pa,,12801989,0.085,other,30.6,0.08,0.93,0.1,,,,,,0.83,3,1,3,2,1,,2,1540721,30976,1542754,17671602,1508,29039,23890,3136,,3462,2859,667,,2425,20443185,9797149,7697728,########,https://covidactnow.org/us/pennsylvania-pa,0.765,0.601,4,17265727,3
72,US,PR,,state,,iso1:us#iso2:us-pr,,3193694,0.022,other,3.2,,0.91,0.13,,,,,,0.68,1,0,1,4,1,,0,217818,3221,117315,1570656,10,9296,5878,79,,641,437,6,,56,4987790,2610980,2339388,########,https://covidactnow.org/us/puerto_rico-pr,0.818,0.733,0,4958720,1
44,US,RI,,state,,iso1:us#iso2:us-ri,,1059361,0.016,other,19,0.2,0.92,0.1,,,,,,0.83,2,0,2,1,1,,2,178461,2874,203966,4525710,200,2460,2074,99,,161,134,13,,463,1794565,820653,746384,########,https://covidactnow.org/us/rhode_island-ri,0.775,0.705,2,1536391,3
45,US,SC,,state,,iso1:us#iso2:us-sc,,5148714,0.046,other,16.9,0.18,0.77,0.1,,,,,,0.74,2,1,2,1,0,,1,893626,13559,931775,8335703,775,10506,8221,770,,1345,993,232,,2554,7398485,2939475,2553535,########,https://covidactnow.org/us/south_carolina-sc,0.571,0.496,87,5614897,3
46,US,SD,,state,,iso1:us#iso2:us-sd,,884659,0.171,other,36.4,0.22,0.93,0.1,,,,,,0.62,3,2,3,1,1,,0,152603,2220,100755,726935,350,2632,1588,186,,250,156,53,,295,1290315,541126,462096,########,https://covidactnow.org/us/south_dakota-sd,0.612,0.522,2,1003680,3
47,US,TN,,state,,iso1:us#iso2:us-tn,,6829174,0.091,other,19.9,0.18,0.81,0.1,,,,,,0.68,2,1,2,1,0,,0,1243433,16025,1048593,7723322,1226,18225,12749,1310,,2395,1626,382,,1366,9149530,3698642,3229283,########,https://covidactnow.org/us/tennessee-tn,0.542,0.473,0,7292825,3
48,US,TX,,state,,iso1:us#iso2:us-tx,,28995881,0.065,other,15.1,0.17,0.78,0.1,,,,,,0.88,2,1,2,1,0,,3,4167718,70665,4412487,32268838,3722,60879,45405,4715,,6627,5853,1494,,4391,43802845,17688183,15368246,########,https://covidactnow.org/us/texas-tx,0.61,0.53,72,33951683,3
49,US,UT,,state,,iso1:us#iso2:us-ut,,3205958,0.117,other,46.1,0.14,1.03,0.1,,,,,,0.68,3,2,3,1,1,,0,542639,3149,622531,4722714,1200,5571,3373,538,,616,420,187,,3637,4278230,1945560,1700674,########,https://covidactnow.org/us/utah-ut,0.607,0.53,21,3641273,3
51,US,VA,,state,,iso1:us#iso2:us-va,,8535519,0.069,other,18.1,0.2,0.85,0.1,,,,,,0.73,2,1,2,1,0,,1,918700,13745,1178103,9627409,1547,17523,12441,1292,,1924,1400,276,,3945,13560485,6021704,5349949,########,https://covidactnow.org/us/virginia-va,0.705,0.627,77,11525647,3
50,US,VT,,state,,iso1:us#iso2:us-vt,,623989,0.03,other,33.5,0.05,1.02,0.1,,,,,,0.76,3,0,3,2,1,,1,38982,351,53815,2301262,53,1213,887,40,,103,78,10,,139,1128950,494209,442528,########,https://covidactnow.org/us/vermont-vt,0.792,0.709,0,956952,3
53,US,WA,,state,,iso1:us#iso2:us-wa,,7614893,,other,35.5,0.16,0.98,0.1,,,,,,0.71,3,4,3,1,1,,1,718388,8531,384858,7161749,2122,11445,9279,1202,,1358,965,267,,5315,12133655,5245381,4798342,########,https://covidactnow.org/us/washington-wa,0.689,0.63,30,10107737,3
55,US,WI,,state,,iso1:us#iso2:us-wi,,5822434,0.079,other,34.3,0.06,0.9,0.1,,,,,,0.62,3,1,3,2,0,,0,871564,9299,930529,11183499,600,12410,8254,1061,,1553,969,311,,4467,8043745,3630920,3377995,########,https://covidactnow.org/us/wisconsin-wi,0.624,0.58,40,7214379,3
54,US,WV,,state,,iso1:us#iso2:us-wv,,1792147,0.104,other,49.9,0.06,0.89,0.1,,,,,,0.77,3,2,3,2,0,,1,267398,4292,299627,3444136,248,5961,4488,751,,669,518,203,,877,3121575,875137,734280,########,https://covidactnow.org/us/west_virginia-wv,0.488,0.41,29,1587090,3
56,US,WY,,state,,iso1:us#iso2:us-wy,,578759,0.113,other,72,0.02,0.98,0.1,,,,,,0.71,3,2,3,2,1,,1,101083,1149,78617,991296,50,1603,832,246,,136,96,70,,909,716045,291315,251741,########,https://covidactnow.org/us/wyoming-wy,0.503,0.435,0,557481,3
